FNAME,Idle,UI_Idle,Stand_Aim,Walk_Blend,Walk_Aim,Crouch_Blend,Crouch_Aim,Run_Blend,Sprint Blend,Reload,Reload_Idle,Reload_Crouch,Stand_Shooting,Shoot_Aim,Shoot_Crouch,ProneBlend,ProneAim,ProneReload,Prone Shoot,Prone Idle
ASR_SIG516,Idle_ASR_M4FFH,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4FFH,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4FFH,Sprint_Blend_ASR_M4,Reload_Walk_ASR_M4_01,Reload_Idle_ASR_M4_01,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_M4FFH,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4FFH,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_Ruger_Rifle,Idle_ASR_Ruger_Rifle,UI_Idle_ASR_M4,Stand_Aim_ASR_Ruger_Rifle,Walk_Blend_ASR_M4,Walk_Aim_ASR_Ruger_Rifle,Crouch_Blend_ASR_mini14,Crouch_Aim_ASR_mini14,Run_Blend_ASR_mini14,Sprint_Blend_ASR_mini14,Reload_Walk_ASR_Ruger_Rifle,Reload_Idle_ASR_Ruger_Rifle,Reload_Crouch_ASR_Ruger_Rifle,Stand_Shooting_ASR_mini14,none,none,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_Ruger_Rifle,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
ASR_tar21,Idle_ASR_Tar21,UI_Idle_ASR_Tar21,Stand_Aim_ASR_tar21,Walk_Blend_ASR_Tar21,Walk_Aim_ASR_Tar21,Crouch_Blend_ASR_Tar21,Crouch_Aim_ASR_Tar21,Run_Blend_ASR_Tar21,Sprint_Blend_ASR_Tar21,Reload_Walk_ASR_Tar,Reload_Idle_ASR_Tar,Reload_Crouch_ASR_Tar,Stand_Shooting_ASR_Tar_Single_01,none,none,Prone_Blend_ASR_M4,Prone_Aim_ASR_tar21,Reload_Prone_ASR_tar,Stand_Shooting_ASR_AK,Prone_Idle_ASR_tar21
ASR_mini14,Idle_ASR_mini14,UI_Idle_ASR_M4,Stand_Aim_ASR_mini14,Walk_Blend_ASR_M4,Walk_Aim_ASR_mini14,Crouch_Blend_ASR_mini14,Crouch_Aim_ASR_mini14,Run_Blend_ASR_mini14,Sprint_Blend_ASR_mini14,Reload_Walk_ASR_mini14,Reload_Idle_ASR_mini14,Reload_Crouch_ASR_mini14,Stand_Shooting_ASR_mini14,none,none,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_mini14,Stand_Shooting_ASR_mini14,Prone_Idle_ASR_mini14
ASR_Mosin_Rifle,Idle_ASR_Mosin,UI_Idle_ASR_M4,Stand_Aim_ASR_mini14,Walk_Blend_ASR_M4,Walk_Aim_ASR_mini14,Crouch_Blend_ASR_mini14,Crouch_Aim_ASR_mini14,Run_Blend_ASR_mini14,Sprint_Blend_ASR_mini14,Reload_Walk_ASR_Mosin,Reload_Idle_ASR_Mosin,Reload_Crouch_ASR_Mosin,Stand_Shooting_ASR_Mosin,none,none,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_Mosin,Stand_Shooting_ASR_mini14,Prone_Idle_ASR_mini14
HG_beretta92f,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_Beretta93R,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_Desert_Eagle,Idle_HG_Main,UI_Idle_HG,Zoom_HG_Desert_Eagle_Idle,Zoom_HG_Desert_Eagle_Walk,Zoom_HG_Desert_Eagle_Walk,Crouch_Blend_HG_Main,Crouch_Aim_HG_Desert_Eagle,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Desert_Eagle_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_FlareGun,Idle_HG_Flaregun,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Flaregun,Reload_Idle_HG_Flaregun,Reload_Crouch_HG_flaregun,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_FlareGun,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_FN57,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_SIGP226,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_Jericho,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_Ruger,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_Colt_Anaconda,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Colt_Anaconda,Reload_Idle_HG_Colt_Anaconda,Reload_Crouch_HG_Colt_Anaconda,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Colt_Anaconda,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
HG_colt_1911,Idle_HG_Main,UI_Idle_HG,Stand_Aim_HG_Main,Walk_Blend_HG_Main,Walk_Aim_HG_Main,Crouch_Blend_HG_Main,Crouch_Aim_HG_Main,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_HG_Auto,Reload_Idle_HG_Auto,Reload_Crouch_HG_Auto,Stand_Shooting_HG_Main,Zoom_HG_Main_Fire,Stand_Shooting_HG_Main,Prone_Blend_ASR_M4,Prone_Aim_HG_Main,Reload_Prone_HG_Main,Stand_Shooting_ASR_AK,Prone_Idle_HG_Main
MG_M249_SAW,Idle_MG_M60,UI_Idle_MG_60,Stand_Aim_MG,Walk_Blend_MG,Walk_Aim_MG,Crouch_Blend_MG,Crouch_Aim_MG,Run_Blend_MG,Sprint_Blend_MG,Reload_Walk_MG_01,Reload_Idle_MG_01,Reload_Crouch_MG_01,Stand_Shooting_MG,Zoom_MG_Fire,Stand_Shooting_MG,Prone_Blend_ASR_M4,Prone_Aim_MG,Reload_Prone_MG_Mag,Stand_Shooting_ASR_AK,Prone_Idle_MG
MG_PKM,Idle_MG_Mag,UI_Idle_MG_60,Stand_Aim_MG,Walk_Blend_MG,Walk_Aim_MG_Mag,Crouch_Blend_MG_Mag,Crouch_Aim_MG_Mag,Run_Blend_MG_PKM,Sprint_Blend_MG_PKM,Reload_Walk_MG_Mag,Reload_Idle_MG_Mag,Reload_Crouch_MG_Mag,Stand_Shooting_MG_Mag,none,Stand_Shooting_MG_Mag,Prone_Blend_ASR_M4,Prone_Aim_MG_Mag,Reload_Prone_MG_Mag,Stand_Shooting_ASR_AK,Prone_Idle_MG_Mag
MG_RPK,Idle_MG_RPK,UI_Idle_MG_60,Stand_Aim_MG,Walk_Blend_MG,Walk_Aim_ASR_M4,Crouch_Blend_MG_RPK,Crouch_Aim_MG,Run_Blend_MG,Sprint_Blend_MG,Reload_Walk_MG_RPK,Reload_Idle_MG_RPK,Reload_Crouch_MG_RPK,Stand_Shooting_MG_RPK,Zoom_ASR_M4_Fire,Stand_Shooting_MG_RPK,Prone_Blend_ASR_M4,Prone_Aim_MG,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_MG
MG_G36MG,Idle_MG_G36MG,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_MG_G36MG,Crouch_Aim_ASR_M4,Run_Blend_MG,Sprint_Blend_MG,Reload_Walk_MG_G36MG,Reload_Idle_MG_G36MG,Reload_Crouch_MG_G36MG,Stand_Shooting_MG_G36MG,Zoom_ASR_M4_Fire,Stand_Shooting_MG_G36MG,Prone_Blend_ASR_M4,Prone_Aim_MG,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_MG
SHG_DoubleBarrel,Idle_SHG_Mossberg590_01,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_SHG_Mossberg590_01,Crouch_Aim_ASR_M4,Run_Blend_SHG_DoubleBarrel,Sprint_Blend_SHG_DoubleBarrel,Reload_Walk_SHG_DoubleBarrel_01,Reload_Idle_SHG_DoubleBarrel,Reload_Crouch_SHG_DoubleBarrel_01,Stand_Shooting_SHG_DoubleBarrel,none,none,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_SHG_DoubleBarrel,Stand_Shooting_SHG_DoubleBarrel,Prone_Idle_ASR_M4
SHG_Mossberg590_01,Idle_SHG_Mossberg590_01,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_SHG_Mossberg590_01,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4,Sprint_Blend_ASR_M4,Reload_Walk_SHG_Mossberg590_01,Reload_Idle_SHG_Mossberg590_01,Reload_Crouch_SHG_Mossberg590_01,Stand_Shooting_SHG_Mossberg590_01,none,none,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_Mossberg590_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
SHG_Keltech,Idle_SHG_Keltech,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_SHG_Mossberg590_01,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4,Sprint_Blend_ASR_M4,Reload_Walk_SHG_Keltech,Reload_Idle_SHG_Keltech,Reload_Crouch_SHG_Keltech,Stand_Shooting_SHG_Pump_01,Zoom_SHG_Pump_Fire,Stand_Shooting_SHG_Pump_01,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_SHG_Keltech,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
SHG_Saiga,Idle_SHG_Saiga,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_SHG_Saiga,Crouch_Aim_ASR_M4,Run_Blend_SHG_Saiga,Sprint_Blend_SHG_Saiga,Reload_Walk_SHG_Saiga,Reload_Idle_SHG_Saiga,Reload_Crouch_SHG_Saiga,Stand_Shooting_SHG_Saiga,Zoom_SHG_Pump_Fire,Stand_Shooting_SHG_Saiga,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_SHG_Saiga,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
SHG_Usas12,Idle_SHG_Usas12,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_SHG_Usas12,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4,Sprint_Blend_ASR_M4,Reload_Walk_SHG_Usas12,Reload_Idle_SHG_Usas12,Reload_Crouch_SHG_Usas12,Stand_Shooting_SHG_Usas12,Zoom_SHG_Pump_Fire,Stand_Shooting_SHG_Usas12,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_SHG_Usas12,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
SMG_AacHoneyBadger_01,Idle_ASR_M4FFH,UI_Idle_ASR_M4,Stand_Aim_ASR_M4,Walk_Blend_ASR_M4,Walk_Aim_ASR_M4,Crouch_Blend_ASR_M4FFH,Crouch_Aim_ASR_M4,Run_Blend_ASR_M4,Sprint_Blend_ASR_M4,Reload_Walk_ASR_M4_01,Reload_Idle_ASR_M4_01,Reload_Crouch_ASR_M4_01,Stand_Shooting_ASR_M4FFH,Zoom_ASR_M4_Fire,Stand_Shooting_ASR_M4FFH,Prone_Blend_ASR_M4,Prone_Aim_ASR_M4,Reload_Prone_ASR_M4_01,Stand_Shooting_ASR_AK,Prone_Idle_ASR_M4
SMG_Bizon,Idle_SMG_Bizon,UI_Idle_ASR_M4_M203,Stand_Aim_SMG_Bizon,Walk_Blend_SMG_Bizon,Walk_Aim_SMG_Bizon,Crouch_Blend_SMG_Bizon,Crouch_Aim_SMG_Bizon,Run_Blend_SHG_DoubleBarrel,Sprint_Blend_SHG_DoubelBarrel,Reload_Walk_SMG_Bizon,Reload_Idle_SMG_Bizon,Reload_Crouch_SMG_Bizon,Stand_Shooting_SMG_Bizon,Zoom_SMG_MP7_Fire,Stand_Shooting_SMG_Bizon,Prone_Blend_ASR_M4,Prone_Aim_SMG_Bizon,Reload_Prone_SMG_Bizon,Stand_Shooting_ASR_AK,Prone_Idle_SMG_Bizon
SMG_MP5A4,Idle_SMG_MP5SD,UI_Idle_SMG_MP7,Stand_Aim_SMG_MP5SD,Walk_Blend_SMG_MP5SD,Walk_Aim_SMG_MP5SD,Crouch_Blend_SMG_MP5SD,Crouch_Aim_SMG_MP5SD,Run_Blend_SMG_MP5SD,Sprint_Blend_SMG_MP5SD,Reload_Walk_SMG_MP5SD,Reload_Idle_SMG_MP5SD,Reload_Crouch_SMG_MP5SD,Stand_Shooting_SMG_MP5SD,Zoom_SMG_MP7_Fire,Stand_Shooting_SMG_MP5SD,Prone_Blend_ASR_M4,Prone_Aim_SMG_MP5SD,Reload_Prone_SMG_MP5SD,Stand_Shooting_ASR_AK,Prone_Idle_SMG_MP5SD
SMG_MP7,Idle_SMG_MP7,UI_Idle_SMG_MP7,Stand_Aim_SMG_MP7,Walk_Blend_SMG_MP7,Walk_Aim_SMG_MP7,Crouch_Blend_SMG_MP7,Crouch_Aim_SMG_MP7,Run_Blend_SMG_MP5SD,Sprint_Blend_SMG_MP5SD,Reload_Walk_SMG_MP7,Reload_Idle_SMG_MP7,Reload_Crouch_SMG_MP7,Stand_Shooting_SMG_MP7,Zoom_SMG_MP7_Fire,Stand_Shooting_SMG_MP7,Prone_Blend_ASR_M4,Prone_Aim_SMG_MP7,Reload_Prone_SMG_MP7,Stand_Shooting_ASR_AK,Prone_Idle_SMG_MP7
SMG_P90,Idle_SMG_P90,UI_Idle_SMG_P90,Stand_Aim_SMG_P90,Walk_Blend_SMG_P90,Walk_Aim_SMG_P90,Crouch_Blend_SMG_P90,Crouch_Aim_SMG_P90,Run_Blend_SMG_P90,Sprint_Blend_SMG_P90,Reload_Walk_SMG_P90,Reload_Idle_SMG_P90,Reload_Crouch_SMG_P90,Stand_Shooting_SMG_P90,none,Stand_Shooting_SMG_P90,Prone_Blend_ASR_M4,Prone_Aim_SMG_P90,Reload_Prone_SMG_P90,Stand_Shooting_ASR_AK,Prone_Idle_SMG_P90
SMG_PS90,Idle_SMG_P90,UI_Idle_SMG_P90,Stand_Aim_SMG_P90,Walk_Blend_SMG_P90,Walk_Aim_SMG_P90,Crouch_Blend_SMG_P90,Crouch_Aim_SMG_P90,Run_Blend_SMG_P90,Sprint_Blend_SMG_P90,Reload_Walk_SMG_P90,Reload_Idle_SMG_P90,Reload_Crouch_SMG_P90,Stand_Shooting_SMG_P90,none,none,Prone_Blend_ASR_M4,Prone_Aim_SMG_P90,Reload_Prone_SMG_PS90,Stand_Shooting_ASR_AK,Prone_Idle_SMG_P90
SMG_ScorpionEVO3,Idle_SMG_Scorpion,UI_Idle_SMG_ScorpionEVO,Stand_Aim_SMG_Scorpion,Walk_Blend_SMG_Scorpion,Walk_Aim_SMG_Scorpion,Crouch_Blend_SMG_Scorpion,Crouch_Aim_SMG_Scorpion,Run_Blend_SMG_MP5SD,Sprint_Blend_SMG_MP5SD,Reload_Walk_SMG_Scorpion,Reload_Idle_SMG_Scorpion,Reload_Crouch_SMG_Scorpion,Stand_Shooting_SMG_Scorpion,Zoom_SMG_MP7_Fire,Stand_Shooting_SMG_Scorpion,Prone_Blend_ASR_M4,Prone_Aim_SMG_Scorpion,Reload_Prone_SMG_ScorpionEVO3,Stand_Shooting_ASR_AK,Prone_Idle_SMG_Scorpion
SMG_SR-1_Veresk,Idle_SMG_MP7,UI_Idle_SMG_Veresk,Stand_Aim_SMG_MP7,Walk_Blend_SMG_MP7,Walk_Aim_SMG_MP7,Crouch_Blend_SMG_MP7,Crouch_Aim_SMG_MP7,Run_Blend_SMG_MP5SD,Sprint_Blend_SMG_MP5SD,Reload_Walk_SMG_MP7,Reload_Idle_SMG_MP7,Reload_Crouch_SMG_MP7,Stand_Shooting_SMG_MP7,none,none,Prone_Blend_ASR_M4,Prone_Aim_SMG_MP7,Reload_Prone_SMG_SR-1_Veresk,Stand_Shooting_ASR_AK,Prone_Idle_SMG_MP7
SMG_UZI,Idle_SMG_UZI,UI_Idle_HG,Stand_Aim_SMG_UZI,Walk_Blend_SMG_UZI,Walk_Aim_SMG_UZI,Crouch_Blend_SMG_UZI,Crouch_Aim_SMG_UZI,Run_Blend_HG_Main,Sprint_Blend_HG_Main,Reload_Walk_SMG_UZI,Reload_Idle_SMG_UZI,Reload_Crouch_SMG_UZI,Stand_Shooting_SMG_UZI,none,none,Prone_Blend_ASR_M4,Prone_Aim_SMG_UZI,Reload_Prone_SMG_UZI,Stand_Shooting_ASR_AK,Prone_Idle_SMG_UZI
